code_type,code,consumer_description
CPT,81451,Blood cancer RNA gene panel 5 to 50 genes
CPT,81455,Tumor gene panel 51 or more genes
CPT,81456,Tumor RNA gene panel 51 or more genes
CPT,81457,Solid tumor gene panel with microsatellite instability
CPT,81458,Solid tumor gene panel copy number and MSI
CPT,81459,Solid tumor gene panel copy number MSI and TMB
CPT,81460,Whole mitochondrial genome analysis with heteroplasmy
CPT,81462,Solid tumor cell free DNA copy number analysis
CPT,81463,Solid tumor cell free DNA copy number microsatellite
CPT,81464,Solid tumor cell free DNA microsatellite instability
CPT,81465,Whole mitochondrial genome analysis panel
CPT,81470,X-linked intellectual disability gene analysis
CPT,81471,X-linked intellectual disability gene panel extended
CPT,81479,Pre-transplant and donor germline testing NGS
CPT,81490,Autoimmune rheumatoid arthritis 12 biomarker assay
CPT,81493,Coronary artery disease mRNA gene expression
CPT,81500,Ovarian cancer biochemical assay two proteins
CPT,81503,Ovarian cancer biochemical assay five proteins
CPT,81504,Microarray gene profiling over 2000 genes
CPT,81506,Endocrine assay seven analytes
CPT,81507,Fetal aneuploidy trisomy risk screening
CPT,81508,Fetal congenital abnormality biochemical assay
CPT,81509,Fetal congenital abnormality biochemical assay
CPT,81510,Fetal congenital abnormality biochemical assay
CPT,81511,Fetal congenital abnormality assay up to 4 analytes
CPT,81512,Fetal congenital abnormality biochemical assay
CPT,81513,Multianalyte assay with algorithmic analysis
CPT,81514,Bacterial vaginosis DNA measurement
CPT,81515,Infectious disease vaginitis DNA analysis
CPT,81517,Liver disease analysis 3 biomarkers serum
CPT,81518,Breast cancer mRNA gene expression profiling
CPT,81519,Breast cancer mRNA gene expression 21 gene test
CPT,81520,Breast cancer mRNA gene expression 58 gene panel
CPT,81521,Breast cancer mRNA 70 gene expression test
CPT,81522,Breast cancer mRNA gene expression 12 gene panel
CPT,81523,Breast cancer mRNA 70 gene with 31 gene panel
CPT,81525,Colon cancer mRNA gene expression 12 gene test
CPT,81528,Colorectal cancer screening quantitative stool test
CPT,81529,Cutaneous melanoma mRNA 31 gene expression
CPT,81535,Gynecologic cancer gene expression test
CPT,81536,Gynecologic cancer gene expression each additional
CPT,81538,Lung cancer mass spectrometric 8 protein assay
CPT,81539,Prostate cancer biochemical assay 4 proteins
CPT,81540,Tumor of unknown origin gene expression test
CPT,81541,Prostate cancer mRNA 46 gene expression
CPT,81542,Prostate cancer mRNA 22 gene expression
CPT,81546,Thyroid cancer mRNA gene expression 10196 genes
CPT,81551,Prostate cancer 3 gene expression test
CPT,81552,Uveal melanoma mRNA 15 gene expression
CPT,81554,Pulmonary fibrosis mRNA 190 gene analysis
CPT,81558,Kidney transplant rejection mRNA 139 gene test
CPT,81560,Transplant prediction liver and bowel CD154 cell
CPT,81595,Heart transplant mRNA gene expression test
CPT,81596,Chronic hepatitis C 6 biochemical assay liver
CPT,81599,Unlisted multianalyte assay algorithmic analysis
CPT,82009,Ketone bodies urine qualitative test
CPT,82010,Ketone bodies serum quantitative test
CPT,82013,Acetylcholinesterase blood test
CPT,82016,Acylcarnitines qualitative screening test
CPT,82017,Acylcarnitines quantitative each specimen
CPT,82024,ACTH adrenocorticotropic hormone level
CPT,82030,Cyclic AMP or ADP blood test
CPT,82040,Albumin level blood test
CPT,82042,Albumin level spinal or amniotic fluid
CPT,82043,Urine microalbumin quantitative test
CPT,82044,Urine albumin semiquantitative test
CPT,82045,Albumin ischemia modified blood test
CPT,82075,Breath alcohol ethanol test
CPT,82077,Breath test for specific substance
CPT,82085,Aldolase enzyme blood test
CPT,82088,Aldosterone hormone level blood test
CPT,82103,Alpha-1 antitrypsin total blood test
CPT,82104,Alpha-1 antitrypsin phenotype blood test
CPT,82105,Alpha-fetoprotein AFP tumor marker blood test
CPT,82106,Alpha-fetoprotein amniotic fluid test
CPT,82107,AFP-L3 fraction and total AFP ratio test
CPT,82108,Aluminum level blood test
CPT,82120,Amines vaginal fluid qualitative test
CPT,82127,Single amino acid qualitative test each specimen
CPT,82128,Multiple amino acids qualitative test
CPT,82131,Single amino acid quantitative test each specimen
CPT,82135,Aminolevulinic acid 24 hour urine test
CPT,82136,Amino acid quantitative 2 to 5 each specimen
CPT,82139,Amino acids 6 or more quantitative each specimen
CPT,82140,Ammonia blood level test
CPT,82143,Amniotic fluid spectrophotometric scan
CPT,82150,Amylase enzyme level blood or body fluid
CPT,82154,Androstanediol glucuronide hormone level
CPT,82157,Androstenedione hormone level blood test
CPT,82160,Androsterone hormone level test
CPT,82163,Angiotensin II blood level test
CPT,82164,Angiotensin converting enzyme ACE level
CPT,82166,Anti-Mullerian hormone AMH level test
CPT,82172,Apolipoprotein blood test each type
CPT,82175,Arsenic blood or urine level test
CPT,82180,Vitamin C ascorbic acid blood level
CPT,82190,Atomic absorption spectroscopy test
CPT,82205,Barbiturate level not otherwise specified
CPT,82232,Beta-2 microglobulin blood or urine test
CPT,82233,Beta amyloid 1-40 level test
CPT,82234,Beta amyloid 1-42 level test
CPT,82239,Bile acids total blood test
CPT,82240,Bile acids cholylglycine blood test
CPT,82247,Bilirubin total blood test
CPT,82248,Bilirubin direct blood test
CPT,82252,Bilirubin feces qualitative test
CPT,82261,Biotinidase enzyme activity each specimen
CPT,82270,Stool blood test colorectal cancer screening
CPT,82271,Stool blood test peroxidase other sources
CPT,82272,Stool blood test 1 to 3 non-screening
CPT,82274,Stool blood test hemoglobin 1 to 3 specimens
CPT,82286,Bradykinin blood level test
CPT,82300,Heavy metals panel blood test
CPT,82306,Vitamin D 25-hydroxy level blood test
CPT,82308,Calcitonin hormone level blood test
CPT,82310,Calcium total blood test
CPT,82330,Calcium ionized blood test
CPT,82331,Calcium level after calcium infusion test
CPT,82340,Calcium urine quantitative timed specimen
CPT,82355,Kidney stone analysis qualitative
CPT,82360,Kidney stone analysis quantitative
CPT,82365,Kidney stone analysis infrared spectroscopy
CPT,82370,Kidney stone analysis x-ray diffraction
CPT,82373,Carbohydrate deficient transferrin alcohol test
CPT,82374,Carbon dioxide CO2 total blood test
CPT,82375,Carbon monoxide carboxyhemoglobin blood test
CPT,82376,Carboxyhemoglobin qualitative blood test
CPT,82378,CEA carcinoembryonic antigen tumor marker
CPT,82379,Carnitine total and free quantitative test
CPT,82380,Carotene vitamin A precursor blood test
CPT,82382,Catecholamines urine test
CPT,82383,Catecholamines blood test
CPT,82384,Catecholamines fractionated blood or urine
CPT,82387,Cathepsin D enzyme level test
CPT,82390,Ceruloplasmin copper protein blood test
CPT,82397,Chemiluminescent assay test
CPT,82415,Chloramphenicol drug level test
CPT,82435,Chloride blood level test
CPT,82436,Urine chemistry panel for kidney stones
CPT,82438,Chloride level other body fluid
CPT,82441,Chlorohydrocarbons toxicology test
CPT,82465,Cholesterol total blood test
CPT,82480,Cholinesterase pseudocholinesterase dibucaine test
CPT,82482,RBC cholinesterase enzyme level
CPT,82485,Chondroitin sulfate urine test
CPT,82495,Chromium blood or urine level
CPT,82507,Citrate urine level for kidney stones
CPT,82523,Collagen cross links bone turnover test
CPT,82525,Copper blood or urine level test
CPT,82528,Corticosterone hormone level test
CPT,82530,Cortisol free urine test
CPT,82533,Cortisol total blood test
CPT,82540,Creatine urine 24 hour test
CPT,82542,Specialized column chromatography assay
CPT,82550,Creatine kinase total cardiac enzyme test
CPT,82552,Creatine kinase isoenzymes test
CPT,82553,Creatine kinase MB fraction heart enzyme test
CPT,82554,Creatine kinase isoforms test
CPT,82565,Creatinine kidney function blood test
CPT,82570,Creatinine urine level test
CPT,82575,Creatinine clearance kidney function test
CPT,82585,Cryofibrinogen blood test
CPT,82595,Cryoglobulin qualitative blood test
CPT,82600,Cyanide level blood test
CPT,82607,Vitamin B12 cyanocobalamin blood level
CPT,82608,Vitamin B12 binding capacity blood test
CPT,82610,Cystatin C kidney function blood test
CPT,82615,Cystine and homocystine urine qualitative test
CPT,82626,DHEA dehydroepiandrosterone hormone level
CPT,82627,DHEA-S dehydroepiandrosterone sulfate level
CPT,82633,Desoxycorticosterone hormone level test
CPT,82634,Deoxycortisol 11 hormone level test
CPT,82638,Dibucaine number enzyme test
CPT,82642,Dihydrotestosterone DHT blood test
CPT,82652,Vitamin D 1-25 dihydroxy active form test
CPT,82653,Pancreatic elastase fecal quantitative test
CPT,82656,Pancreatic elastase fecal qualitative test
CPT,82657,Enzyme activity blood cells nonradioactive test
CPT,82658,Enzyme activity blood cells radioactive test
CPT,82664,Electrophoretic analysis not specified
CPT,82668,Erythropoietin hormone level blood test
CPT,82670,Estradiol hormone total level blood test
CPT,82671,Estrogens fractionated blood test
CPT,82672,Estrogens total blood or urine test
CPT,82677,Estriol level blood test
CPT,82679,Estrone hormone level blood test
CPT,82681,Estradiol free direct measurement blood test
CPT,82693,Ethylene glycol antifreeze blood level
CPT,82696,Etiocholanolone hormone level test
CPT,82705,Fat or lipids feces qualitative test
CPT,82710,Fat or lipids feces quantitative test
CPT,82715,Fat absorption test
CPT,82725,Free fatty acids total blood test
CPT,82726,Very long chain fatty acids blood test
CPT,82728,Ferritin iron storage blood test
CPT,82731,Fetal fibronectin preterm labor test
CPT,82735,Fluoride level blood or plasma
CPT,82746,Folic acid folate blood level test
CPT,82747,Folic acid red blood cell level test
CPT,82757,Fructose semen test fertility
CPT,82759,RBC galactokinase enzyme test
CPT,82760,Galactose blood level test
CPT,82775,Galactose transferase quantitative test
CPT,82776,Galactose transferase screen test
CPT,82777,Galectin-3 heart failure biomarker test
CPT,82784,Complement immune protein antigen level
CPT,82785,Immunoglobulin IgE allergy antibody level
CPT,82787,Immunoglobulin subclasses blood test
CPT,82800,Blood pH level venous test
CPT,82803,Arterial blood gas pH oxygen CO2 test
CPT,82805,Blood gases with pH and oxygen saturation
CPT,82810,Blood oxygen saturation measurement
CPT,82820,Hemoglobin oxygen affinity P50 test
CPT,82930,Gastric acid analysis with pH each specimen
CPT,82938,Gastrin level after secretin stimulation
CPT,82941,Gastrin GI tract hormone blood level
CPT,82943,Glucagon hormone blood level test
CPT,82945,Glucose level body fluid test
CPT,82946,Glucagon tolerance test
CPT,82947,Blood glucose sugar level test
CPT,82948,Blood glucose test by reagent strip
CPT,82950,Blood glucose level after glucose dose
CPT,82951,Glucose tolerance test GTT first 3 specimens
CPT,82952,Glucose tolerance test each additional specimen
CPT,82955,G6PD enzyme activity blood test
CPT,82960,G6PD enzyme screening test
CPT,82962,Blood glucose test handheld device
CPT,82963,Beta glucosidase enzyme blood test
CPT,82965,Glutamate dehydrogenase enzyme test
CPT,82977,GGT gamma-glutamyl transferase liver enzyme
CPT,82978,Glutathione blood level test
CPT,82979,RBC glutathione blood test
CPT,82985,Glycated protein fructosamine blood test
CPT,83001,FSH follicle stimulating hormone level
CPT,83002,LH luteinizing hormone level
CPT,83003,Growth hormone HGH blood level test
CPT,83006,Growth stimulation expressed gene 2 test
CPT,83009,H pylori blood test analysis
CPT,83010,Haptoglobin blood level quantitative
CPT,83012,Haptoglobin blood test phenotyping
CPT,83013,H pylori breath test for stomach bacteria
CPT,83014,H pylori test drug administration
CPT,83015,Heavy metal screening test blood
CPT,83018,Heavy metal quantitative test each
CPT,83020,Hemoglobin electrophoresis analysis
CPT,83021,Hemoglobin analysis by chromatography
CPT,83026,Hemoglobin copper sulfate solubility test
CPT,83030,Fetal hemoglobin chemical test
CPT,83033,Fetal hemoglobin qualitative test
CPT,83036,Hemoglobin A1C diabetes management test
CPT,83037,Hemoglobin A1C home monitoring device
CPT,83045,Methemoglobin blood test qualitative
CPT,83050,Methemoglobin blood test quantitative
CPT,83051,Hemoglobin plasma free level test
CPT,83060,Sulfhemoglobin blood test
CPT,83065,Hemoglobin thermolabile stability test
CPT,83068,Unstable hemoglobin screening test
CPT,83069,Hemoglobin urine test
CPT,83070,Hemosiderin urine iron test qualitative
CPT,83080,Beta-galactosidase enzyme activity test
CPT,83088,Histamine blood or urine level test
CPT,83090,Homocysteine total blood test
CPT,83150,Homovanillic acid HVA urine test
CPT,83491,Hydroxycorticosteroid 17 urine level
CPT,83497,5-HIAA hydroxyindoleacetic acid urine test
CPT,83498,17-hydroxyprogesterone hormone blood level
CPT,83500,Free hydroxyproline urine test
CPT,83505,Total hydroxyproline urine test
CPT,83516,Immunoassay multiple step method test
CPT,83518,Immunoassay dipstick test method
CPT,83519,Radioimmunoassay substance measurement
CPT,83520,Immunoassay quantitative non-antibody test
CPT,83521,Immunoglobulin light chains free each
CPT,83525,Insulin total blood level test
CPT,83527,Insulin free blood level test
CPT,83528,Intrinsic factor blood test
CPT,83529,Interleukin-6 IL-6 inflammation marker test
CPT,83540,Iron blood level test
CPT,83550,Unsaturated iron binding capacity test
CPT,83570,Isocitrate dehydrogenase enzyme test
CPT,83582,Ketogenic steroids urine test
CPT,83586,17-ketosteroids total urine test
CPT,83593,17-ketosteroids fractionated urine test
CPT,83605,Lactic acid lactate blood level test
CPT,83615,Lactate dehydrogenase LDH enzyme level
CPT,83625,LDH lactate dehydrogenase isoenzymes
CPT,83630,Lactoferrin fecal qualitative test
CPT,83631,Lactoferrin fecal quantitative test
CPT,83632,Human placental lactogen hormone level
CPT,83633,Lactose urine test
CPT,83655,Lead blood or urine level test
CPT,83661,Blood cancer gene panel 5 to 50 genes
CPT,83662,Fetal lung maturity foam stability test
CPT,83663,Fetal lung maturity fluorescence test
CPT,83664,Fetal lung maturity lamellar body density
CPT,83670,Leucine aminopeptidase enzyme test
CPT,83690,Lipase digestive enzyme level test
CPT,83695,Lipoprotein(a) cardiovascular risk test
CPT,83698,Lipoprotein-associated phospholipase A2 test
CPT,83700,Lipoprotein electrophoresis blood test
CPT,83701,Lipoprotein high-resolution fractionation test
CPT,83704,Lipoprotein quantitative particle number test
CPT,83718,HDL cholesterol good cholesterol blood test
CPT,83719,VLDL lipoprotein blood test
CPT,83721,LDL cholesterol direct measurement blood test
CPT,83722,Small dense LDL cholesterol blood test
CPT,83727,Luteinizing releasing factor hormone test
CPT,83735,Magnesium urine level for kidney stones
CPT,83775,Malate dehydrogenase enzyme test
CPT,83785,Manganese blood or urine level test
CPT,83789,Mass spectrometry non-drug analyte test
CPT,83825,Mercury blood or urine level test
CPT,83835,Metanephrines fractionated urine test
CPT,83857,Methemalbumin blood test
CPT,83861,Microfluidic tear analysis test
CPT,83864,Amino acid quantitative specialized test
CPT,83872,Synovial fluid mucin joint test
CPT,83873,Myelin basic protein spinal fluid test
CPT,83874,Myoglobin serum muscle protein test
CPT,83876,Myeloperoxidase enzyme blood test
CPT,83880,BNP natriuretic peptide heart failure marker
CPT,83883,Nephelometry analyte measurement each test
CPT,83884,Neurofilament light chain blood test
CPT,83885,Nickel urine or blood level test
CPT,83915,5-nucleotidase liver enzyme test
CPT,83916,Oligoclonal banding spinal fluid test
CPT,83918,Organic acids total quantitative urine test
CPT,83919,Organic acids qualitative urine test
CPT,83921,Single organic acid quantitative test
CPT,83930,Blood osmolality concentration test
CPT,83935,Urine osmolality concentration test
CPT,83937,Osteocalcin bone formation marker test
CPT,83945,Oxalate urine test for kidney stones
CPT,83950,HER-2/NEU oncoprotein cancer marker test
CPT,83951,DCP des-gamma-carboxy prothrombin liver test
CPT,83970,Parathyroid hormone PTH blood level test
CPT,83986,Body fluid pH level test
CPT,83987,Exhaled breath condensate pH test
CPT,83992,Phencyclidine PCP drug screen
CPT,83993,Calprotectin fecal inflammation marker test
CPT,84030,Phenylalanine amino acid PKU test
CPT,84035,Phenylketones urine screening test
CPT,84060,Acid phosphatase total enzyme test
CPT,84066,Prostatic acid phosphatase enzyme test
CPT,84075,Alkaline phosphatase liver bone enzyme test
CPT,84078,Alkaline phosphatase heat stable test
CPT,84080,Alkaline phosphatase isoenzymes test
CPT,84081,Phosphatidylglycerol fetal lung test
CPT,84085,RBC phosphogluconate dehydrogenase test
CPT,84087,Phosphohexose isomerase enzyme test
CPT,84100,Phosphorus blood level test
CPT,84105,Phosphorus urine level test
CPT,84106,Porphobilinogen urine qualitative test
CPT,84110,Porphobilinogen urine quantitative test
CPT,84112,Amniotic fluid protein evaluation test
CPT,84119,Porphyrins urine qualitative test
CPT,84120,Porphyrins urine quantitative fractionation
CPT,84126,Porphyrins feces quantitative test
CPT,84132,Potassium blood level test
CPT,84133,Potassium urine level for kidney stones
CPT,84134,Prealbumin nutrition marker blood test
CPT,84135,Pregnanediol urine hormone test
CPT,84138,Pregnanetriol urine hormone test
CPT,84140,Pregnenolone hormone blood level test
CPT,84143,17-hydroxypregnenolone hormone level test
CPT,84144,Progesterone reproductive hormone level
CPT,84145,Procalcitonin infection marker blood test
CPT,84146,Prolactin hormone blood level test
CPT,84150,Prostaglandin blood or urine test
CPT,84152,PSA prostate specific antigen complexed
CPT,84153,PSA prostate specific antigen total blood test
CPT,84154,PSA prostate specific antigen free blood test
CPT,84155,Total protein serum or blood test
CPT,84156,Total protein urine test
CPT,84157,Total protein body fluid test
CPT,84160,Total protein refractometry any source
CPT,84163,PAPP-A pregnancy associated protein test
CPT,84165,Protein electrophoresis serum fractionation
CPT,84166,Protein electrophoresis other fluid fractionation
CPT,84181,Western blot protein blood or fluid test
CPT,84182,Western blot protein with band identification
CPT,84202,Protoporphyrin RBC quantitative blood test
CPT,84203,Protoporphyrin RBC screening test
CPT,84206,Proinsulin blood level test
CPT,84207,Vitamin B6 pyridoxal phosphate blood test
CPT,84210,Pyruvate blood level test
CPT,84220,Pyruvate kinase enzyme blood test
CPT,84228,Quinine drug level blood test
CPT,84233,Estrogen receptor tissue assay cancer test
CPT,84234,Progesterone receptor tissue assay cancer test
CPT,84235,Nuclear receptor assay endocrine test
CPT,84238,Receptor assay non-endocrine tissue test
CPT,84244,Renin kidney enzyme blood level test
CPT,84252,Vitamin B2 riboflavin blood level test
CPT,84255,Selenium blood or urine level test
CPT,84260,Serotonin whole blood level test
CPT,84270,SHBG sex hormone binding globulin test
CPT,84275,Sialic acid lipid associated blood test
CPT,84285,Silica blood or urine level test
CPT,84295,Sodium blood level test
CPT,84300,Sodium urine level for kidney stones
CPT,84302,Sodium level other body fluid test
CPT,84305,Somatomedin IGF-1 growth factor level
CPT,84307,Somatostatin hormone blood level test
CPT,84311,Spectrophotometry chemical analysis test
CPT,84315,Specific gravity body fluid test
CPT,84375,Sugar chromatographic analysis test
CPT,84376,Sugar single qualitative test each specimen
CPT,84377,Sugar multiple types qualitative test
CPT,84378,Sugar single quantitative test each specimen
CPT,84379,Sugar multiple types quantitative test
CPT,84392,Sulfate urine level test
CPT,84393,Tau phosphorylated brain protein test
CPT,84394,Tau total brain protein level test
CPT,84402,Testosterone free hormone blood level
CPT,84403,Testosterone total hormone blood level
CPT,84410,Testosterone bioavailable direct measurement
CPT,84425,Vitamin B1 thiamine blood level test
CPT,84430,Thiocyanate blood or urine level test
CPT,84431,Thromboxane urine test
CPT,84432,Thyroglobulin thyroid protein level test
CPT,84433,TPMT thiopurine methyltransferase enzyme test
CPT,84436,Thyroxine T4 total thyroid hormone test
CPT,84437,Thyroxine T4 neonatal screening test
CPT,84439,Thyroxine T4 free thyroid hormone test
CPT,84442,Thyroxine binding globulin TBG test
CPT,84443,TSH thyroid stimulating hormone blood test
CPT,84445,Thyroid stimulating immunoglobulin TSI test
CPT,84446,Vitamin E tocopherol blood level test
CPT,84449,Cortisol binding globulin blood test
CPT,84450,AST SGOT liver enzyme blood test
CPT,84460,ALT SGPT liver enzyme blood test
CPT,84466,Transferrin iron binding protein level
CPT,84478,Triglycerides blood fat level test
CPT,84479,Thyroid hormone uptake ratio test
CPT,84480,T3 triiodothyronine total thyroid test
CPT,84481,T3 triiodothyronine free thyroid test
CPT,84482,Drug presence testing by chemistry analyzer
CPT,84484,Troponin heart muscle protein quantitative
CPT,84485,Trypsin enzyme duodenal fluid test
CPT,84488,Trypsin feces screening test
CPT,84490,Trypsin feces quantitative test
CPT,84510,Tyrosine amino acid blood test
CPT,84512,Troponin heart muscle protein qualitative
CPT,84520,BUN blood urea nitrogen kidney test
CPT,84525,Urea nitrogen semi-quantitative test
CPT,84540,Urea nitrogen urine kidney function test
CPT,84545,Urea nitrogen clearance kidney test
CPT,84550,Uric acid blood level test
CPT,84560,Uric acid urine level test
CPT,84577,Urobilinogen feces test
CPT,84578,Urobilinogen urine screening test
CPT,84580,Urobilinogen urine quantitative test
CPT,84583,Urobilinogen urine semi-quantitative test
CPT,84585,VMA vanillylmandelic acid urine test
CPT,84586,VIP vasoactive intestinal peptide test
CPT,84588,Vasopressin ADH antidiuretic hormone test
CPT,84590,Vitamin A retinol blood level test
CPT,84591,Vitamin level test not otherwise specified
CPT,84597,Vitamin K blood level test
CPT,84600,Volatile chemical toxicology screen
CPT,84620,Xylose absorption intestinal function test
CPT,84630,Zinc blood or urine level test
CPT,84681,C-peptide insulin production marker test
CPT,84702,HCG beta pregnancy hormone quantitative
CPT,84703,HCG pregnancy hormone qualitative urine
CPT,84704,HCG free beta chain pregnancy test
CPT,84830,Ovulation test LH detection
CPT,84999,Unlisted chemistry laboratory procedure
CPT,85002,Bleeding time skin test
CPT,85004,Automated white blood cell differential count
CPT,85007,Microscopic white blood cell manual count
CPT,85008,Blood smear microscopic exam without manual differential
CPT,85009,Manual differential white blood cell buffy coat
CPT,85013,Microhematocrit blood cell volume test
CPT,85014,Red blood cell hematocrit level test
CPT,85018,Hemoglobin blood level test
CPT,85025,Complete blood count CBC with differential automated
CPT,85027,Complete blood count CBC automated
CPT,85032,Manual blood cell count each type
CPT,85041,Automated red blood cell count
CPT,85044,Reticulocyte count manual method
CPT,85045,Reticulocyte count automated method
CPT,85046,Reticulocyte count with cell measurements
CPT,85048,White blood cell WBC automated count
CPT,85049,Platelet count automated
CPT,85055,Reticulated platelet assay test
CPT,85060,Blood smear peripheral interpretation report
CPT,85097,Bone marrow aspirate interpretation
CPT,85130,Chromogenic substrate coagulation assay
CPT,85170,Blood clot retraction test
CPT,85175,Clot lysis time blood dilution test
CPT,85210,Clotting factor II prothrombin activity test
CPT,85220,Clotting factor V activity test
CPT,85230,Clotting factor VII activity test
CPT,85240,Clotting factor VIII activity test
CPT,85244,Clotting factor VIII related antigen test
CPT,85245,Factor VIII von Willebrand ristocetin cofactor
CPT,85246,Von Willebrand factor antigen test
CPT,85247,Von Willebrand factor multimeric analysis
CPT,85250,Clotting factor IX activity test
CPT,85260,Clotting factor X activity test
CPT,85270,Clotting factor XI activity test
CPT,85280,Clotting factor XII activity test
CPT,85290,Clotting factor XIII activity test
CPT,85291,Clotting factor XIII screen solubility test
CPT,85292,Prekallikrein Fletcher factor assay
CPT,85293,High molecular weight kininogen activity test
CPT,85300,Antithrombin III activity clotting test
CPT,85301,Antithrombin III antigen clotting test
CPT,85302,Protein C antigen clotting inhibitor test
CPT,85303,Protein C activity clotting inhibitor test
CPT,85305,Protein S total antigen clotting test
CPT,85306,Protein S free antigen clotting test
CPT,85307,Activated protein C resistance test
CPT,85335,ADAMTS13 inhibitor titer test
CPT,85337,Thrombomodulin blood test
CPT,85345,Coagulation time Lee and White test
CPT,85347,Activated clotting time ACT test
CPT,85348,Coagulation time other methods test
CPT,85360,Euglobulin clot lysis time test
CPT,85362,Fibrin split products agglutination test
CPT,85366,Fibrin degradation products immunological test
CPT,85370,Fibrin degradation products quantitative test
CPT,85378,D-dimer fibrin degradation qualitative test
CPT,85379,D-dimer fibrin degradation quantitative test
CPT,85380,D-dimer ultrasensitive blood clot test
CPT,85384,Fibrinogen factor I activity level test
CPT,85385,Fibrinogen antigen level test
CPT,85390,Fibrinolysis coagulopathy screening interpretation
CPT,85396,Whole blood coagulation test with heparinase
CPT,85397,Coagulation and fibrinolysis functional test each
CPT,85400,Fibrinolytic plasmin activity test
CPT,85410,Alpha-2 antiplasmin activity test
CPT,85415,Plasminogen activator blood test
CPT,85420,Plasminogen activity blood test
CPT,85421,Plasminogen antigen blood test
CPT,85441,Heinz bodies direct blood smear test
CPT,85445,Heinz bodies induced screening test
CPT,85460,Fetal hemoglobin Kleihauer-Betke test
CPT,85461,Fetal hemoglobin rosette screening test
CPT,85475,Hemolysin acid serum test
CPT,85520,Heparin blood thinner level test
CPT,85525,Heparin neutralization test
CPT,85530,Heparin protamine tolerance test
CPT,85536,Iron stain peripheral blood smear
CPT,85540,Myelin basic protein spinal fluid test
CPT,85547,Red blood cell mechanical fragility test
CPT,85549,White blood cell enzyme activity test
CPT,85555,Osmotic fragility RBC test unincubated
CPT,85557,Osmotic fragility RBC test incubated
CPT,85576,Platelet aggregation test each agent
CPT,85597,Phospholipid neutralization platelet test
CPT,85598,Phospholipid neutralization hexagonal test
CPT,85610,Prothrombin time PT blood clotting test
CPT,85611,Prothrombin time substitution plasma test
CPT,85612,Russell viper venom clotting time test
CPT,85613,Diluted Russell viper venom time test
CPT,85635,Reptilase time clotting test
CPT,85651,Sed rate ESR inflammation test non-automated
CPT,85652,Sed rate ESR inflammation test automated
CPT,85660,Sickle cell screening test
CPT,85670,Thrombin time plasma clotting test
CPT,85675,Thrombin time titer test
CPT,85705,Lupus anticoagulant thromboplastin inhibition
CPT,85730,PTT partial thromboplastin time clotting test
CPT,85732,PTT mixing study clotting factor test
CPT,85810,Blood viscosity examination test
CPT,85999,Unlisted hematology laboratory procedure
CPT,86000,Febrile agglutinins each antigen test
CPT,86001,Allergen specific IgG antibody each test
CPT,86003,Allergen specific IgE antibody allergy test each
CPT,86005,Allergen IgE multi-allergen screen qualitative
CPT,86008,Allergen IgE with component reflex test
CPT,86015,Actin smooth muscle antibody test
CPT,86021,White blood cell antibody identification test
CPT,86022,Platelet antibody identification test
CPT,86023,Platelet immunoglobulin antibody assay
CPT,86036,ANCA antineutrophil cytoplasmic antibody screen
CPT,86037,ANCA antineutrophil cytoplasmic antibody titer
CPT,86038,Antinuclear antibody ANA screening test
CPT,86039,Antinuclear antibody ANA titer test
CPT,86041,Acetylcholine receptor binding antibody test
CPT,86042,Acetylcholine receptor blocking antibody test
CPT,86043,Acetylcholine receptor modulating antibody test
CPT,86051,Aquaporin-4 antibody ELISA test
CPT,86052,Aquaporin-4 antibody cell based assay each
CPT,86053,Aquaporin-4 antibody flow cytometry each
CPT,86060,Anti-streptolysin O ASO titer test
CPT,86063,Strep antibody screening test
CPT,86077,Blood bank physician crossmatch evaluation
CPT,86078,Blood bank physician transfusion reaction workup
CPT,86079,Blood bank physician service standard
CPT,86140,C-reactive protein CRP inflammation test
CPT,86141,C-reactive protein high sensitivity heart risk
CPT,86146,Beta-2 glycoprotein 1 antibody test
CPT,86147,Cardiolipin antibody autoimmune test
CPT,86148,Phospholipid antibody autoimmune test
CPT,86152,Cell enumeration immune selection fluid specimen
CPT,86153,Cell enumeration physician interpretation
CPT,86155,Chemotaxis white blood cell function test
CPT,86156,Cold hemolysin Donath-Landsteiner test
CPT,86157,Cold agglutinin titer blood test
CPT,86160,Complement antigen each component test
CPT,86161,Complement functional activity each component
CPT,86162,Complement total hemolytic CH50 test
CPT,86171,Complement fixation each antigen test
CPT,86200,Rheumatoid factor cyclic citrullinated peptide
CPT,86215,Deoxyribonuclease DNase antibody test
CPT,86225,DNA antibody double stranded autoimmune test
CPT,86226,DNA antibody single stranded test
CPT,86231,Endomysial antibody EMA celiac disease test
CPT,86235,Nuclear antigen antibody autoimmune test
CPT,86255,Fluorescent antibody non-infectious screen
CPT,86256,Fluorescent antibody non-infectious titer
CPT,86258,Gliadin deamidated peptide antibody celiac test
CPT,86277,Growth hormone antibody test
CPT,86280,Hemagglutination inhibition antibody test
CPT,86294,Immunoassay tumor antigen qualitative test
CPT,86300,Cancer antigen CA 15-3 or CA 27-29 test
CPT,86301,Cancer antigen CA 19-9 tumor marker test
CPT,86304,Cancer antigen CA 125 ovarian marker test
CPT,86305,HE4 human epididymis protein ovarian test
CPT,86308,Mono spot rapid infectious mononucleosis test
CPT,86309,Heterophile antibody titer test
CPT,86310,Heterophile antibody titer after absorption
